Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","0,5 x 1,0 m",3175890,"bg_pq","Tapete de couro bege",1,"","Tapete de couro natural bovino modular para decoração<br>Tons de bege e borda marrom<br>Placas de 5 x 5 cm<br><script>semborda(); coszig(); fortnt(); fgratis(); </script><!--CC:bege-->","",False,10000,0,False,0,27,129.9,0,0,0,,,False,False,"bg_pq.jpg","bg_pq_med.jpg","bg_pq_amp.jpg","97412","","61572","0.5 x 1.0 m","5 x 5 cm","Forro de TNT","",0,,775,"bg_7_bd",,0,0,,"desc_tnt.html","tapete,tapetes,couro,tapete de couro,tapetes de couro,legitimo,natural,bovino,bovina,boi,vaca,pele,tapete de pele,artesanal,artesanais,pelo,pelos,modular,patchwork,retalhos",12,12,"78301329",True,False,0,0,0,"","FNB201401","","","","",""
"A","0,5 x 1,0 m",3175894,"br5s_05x1","Tapete de couro branco",1,"","Tapete de couro natural bovino modular para decoração<br>Tons escuros de branco<br>Placas de 5 x 5 cm<br><script>semborda(); coszig(); fortnt(); fgratis(); </script><!--CC:branco-->","",False,10000,0,False,0,27,129.9,0,0,0,,,False,False,"br7_05x1m.jpg","br7_05x1m.jpg,br7_05x1_01m.jpg","br7_05x1.jpg,br7_05x1_01.jpg","97412","","61572","0.5 x 1.0 m","5 x 5 cm","Forro de TNT","",0,,775,"br_mr_orn10",,0,0,,"desc_tnt.html","tapete,tapetes,couro,tapete de couro,tapetes de couro,legitimo,natural,bovino,bovina,boi,vaca,pele,tapete de pele,artesanal,artesanais,pelo,pelos,modular,patchwork,retalhos",12,12,"78301329",True,False,0,0,0,"","FNB201401","","","","",""
"A","0,5 x 1,0 m",3248389,"brpt_pq","Tapete de couro branco e preto",1,"","Tapete de couro natural bovino modular para decoração<br>Tabuleiro branco e preto<br>Placas de 5 x 5 cm<br><script>semborda(); coszig(); fortnt(); fgratis(); </script>","",False,10000,0,False,0,27,129.9,0,0,0,,,False,False,"brpt_pq.jpg","brpt_pq_med.jpg","brpt_pq_amp.jpg","97412","","61572","0.5 x 1.0 m","5 x 5 cm","Forro de TNT","",0,,775,"br_pq,br_20",,0,0,,"desc_tnt.html","tapete,tapetes,couro,tapete de couro,tapetes de couro,legitimo,natural,bovino,bovina,boi,vaca,pele,tapete de pele,artesanal,artesanais,pelo,pelos,modular,patchwork,retalhos",12,12,"78301329",True,False,0,0,0,"","FNB201401","","","","",""
"A","0,5 x 1,0 m",3197871,"cores10sgf_10","Tapete de couro colorido",1,"","Tapete de couro natural bovino modular colorido para decoração com serigrafia<br>Placas de 10 x 10 cm<br><script>semborda(); coszig(); fortnt(); fgratis(); </script>","",False,10000,0,False,0,45,149.9,0,0,0,,,False,False,"cores10sgf_md.jpg","cores10sgf_md_med.jpg","cores10sgf_md_amp.jpg","97412","","61572","0.5 x 1.0 m","10 x 10 cm","Forro de TNT","",0,,775,"cores7sgf_md,cores10mt_md",,0,0,,"desc_tnt.html","tapete,tapetes,couro,tapete de couro,tapetes de couro,legitimo,natural,bovino,bovina,boi,vaca,pele,tapete de pele,artesanal,artesanais,pelo,pelos,modular,patchwork,retalhos",12,12,"78301329",True,False,0,0,0,"","FNB201401","","","","",""
"A","0,5 x 1,0 m",3197893,"cores7sgf_md","Tapete de couro colorido",1,"","Tapete de couro natural bovino modular colorido para decoração com serigrafia<br>Placas de 7 x 7 cm<br><script>semborda(); coszig(); fortnt(); fgratis(); </script>","",False,10000,0,False,0,30,139.9,0,0,0,,,False,False,"cores7sgf_md.jpg","cores7sgf_md_med.jpg","cores7sgf_md_amp.jpg","97412","","61572","0.5 x 1.0 m","7 x 7 cm","Forro de TNT","",0,,775,"cores10mt_md,cores10sgf_md",,0,0,,"desc_tnt.html","tapete,tapetes,couro,tapete de couro,tapetes de couro,legitimo,natural,bovino,bovina,boi,vaca,pele,tapete de pele,artesanal,artesanais,pelo,pelos,modular,patchwork,retalhos",12,12,"78301329",True,False,0,0,0,"","FNB201401","","","","",""
"A","0,5 x 1,0 m",4999810,"clr01_05x1","Tapete de couro colorido",2,"","Tapete de couro natural bovino modular para decoração<br><script>comborda(); coszig(); fortnt(); fgratis(); </script><!--CC:colorido-->","",True,1,0,False,0,64,199.9,0,0,0,,,False,False,"CLR01.jpg","CLR01.jpg,CLR01_01.jpg","CLR01_amp.jpg,CLR01_01_amp.jpg","97412","","61572","0.5 x 1.0 m","10 x 10 cm","Forro TNT","",0,,775,"BRCZ01,CZBP02,MALBG01,ZB1",,,0,,"desc_tnt.html","tapete,tapetes,couro,tapete de couro,tapetes de couro,legitimo,natural,bovino,bovina,boi,vaca,pele,tapete de pele,artesanal,artesanais,pelo,pelos,modular,patchwork,retalhos",0,0,"78301329",True,False,0,0,0,"","FNB201401","","","","",""
"A","0,5 x 1,0 m",3248391,"ex5_pq","Tapete de couro exótico",1,"","Tapete de couro natural bovino modular para decoração<br>Tons exóticos<br>Placas de 5 x 5 cm<br><script>semborda(); coszig(); fortnt(); fgratis(); </script><!--CC:marrom-->","",False,10000,0,False,0,27,129.9,0,0,0,,,False,False,"ex5_pq.jpg","ex5_pq_med.jpg","ex5_pq_amp.jpg","97412","","61572","0.5 x 1.0 m","5 x 5 cm","Forro de TNT","",0,,775,"ex_esc_10,ex_med_5",,0,0,,"desc_tnt.html","tapete,tapetes,couro,tapete de couro,tapetes de couro,legitimo,natural,bovino,bovina,boi,vaca,pele,tapete de pele,artesanal,artesanais,pelo,pelos,modular,patchwork,retalhos",12,12,"78301329",True,False,0,0,0,"","FNB201401","","","","",""
"A","0,5 x 1,0 m",3175901,"ex_pq","Tapete de couro exótico pequeno",1,"","Tapete de couro natural bovino modular para decoração<br>Tons exóticos e borda escura<br>Placas de 5 x 5 cm<br><script>semborda(); coszig(); fortnt(); fgratis(); </script><!--CC:marrom-->","",False,10000,0,False,0,27,129.9,0,0,0,,,False,False,"ex_pq.jpg","ex_pq_med.jpg","ex_pq_amp.jpg","97412","","61572","0.5 x 1.0 m","5 x 5 cm","Forro de TNT","",0,,775,"ex_med_10",,0,0,,"desc_tnt.html","tapete,tapetes,couro,tapete de couro,tapetes de couro,legitimo,natural,bovino,bovina,boi,vaca,pele,tapete de pele,artesanal,artesanais,pelo,pelos,modular,patchwork,retalhos",12,12,"78301329",True,False,0,0,0,"","FNB201401","","","","",""
"A","0,5 x 1,0 m",5023388,"mr5E_05x1","Tapete de couro legítimo",2,"","Tapete de couro natural bovino modular para decoração<br><script>comborda(); coszig(); fortnt(); fgratis(); </script><!--CC:marrom-->","",True,1,0,True,0,39,149.9,0,0,0,,,False,False,"mr5_150915m.jpg","mr5_150915m.jpg,mr5_150915_01m.jpg","mr5_150915.jpg,mr5_150915_01.jpg","97412","","61572","0.5 x 1.0 m","5 x 5 cm","Forro TNT","",0,,775,"br5_15x2,mal5_15x2,ex5_15x2",,,0,,"desc_tnt.html","tapete,tapetes,couro,tapete de couro,tapetes de couro,legitimo,natural,bovino,bovina,boi,vaca,pele,tapete de pele,artesanal,artesanais,pelo,pelos,modular,patchwork,retalhos",0,0,"78301329",True,False,0,0,0,"","FNB201401","","","","",""
"A","0,5 x 1,0 m",5023389,"ex5t_05x1","Tapete de couro legítimo",2,"","Tapete de couro natural bovino modular para decoração<br><script>comborda(); coszig(); fortnt(); fgratis(); </script><!--CC:marrom-->",,True,1,0,False,,32,139.9,0,0,0,,,True,True,"ex5_150915m.jpg","ex5_150915m.jpg,ex5_150915_01m.jpg","ex5_150915.jpg,ex5_150915_01.jpg","97411",,"61572","0.5 x 1.0 m","5 x 5 cm","Forro TNT",,0,,775,"br5_15x2,mal5_15x2,ex5_15x2",,,0,,"desc_tnt.html","tapete,tapetes,couro,tapete de couro,tapetes de couro,legitimo,natural,bovino,bovina,boi,vaca,pele,tapete de pele,artesanal,artesanais,pelo,pelos,modular,patchwork,retalhos",0,0,"78301329",True,False,0,0,0,"","FNB201401","","","","",""
